date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:12:17	156458/156458	---MCZ	200	added ('OK')	text/html	etag:%222632a-58316f6460790-gzip%22	https://www.ampleadmin.wrappixel.com/ampleadmin-html/ampleadmin-sidebar/ticket-list.html	C:/My%20Web%20Sites/adminprojet/www.ampleadmin.wrappixel.com/ampleadmin-html/ampleadmin-sidebar/ticket-list.html	(from )
12:12:18	823/823	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Fri,%2022%20Mar%202019%2011:13:04%20GMT	https://www.ampleadmin.wrappixel.com/robots.txt		(from )
12:12:20	17231/17231	---M--	200	added ('OK')	image/png	etag:%22434f-58316f648af40%22	https://www.ampleadmin.wrappixel.com/assets/images/favicon.png	C:/My%20Web%20Sites/adminprojet/www.ampleadmin.wrappixel.com/assets/images/favicon.png	(from https://www.ampleadmin.wrappixel.com/ampleadmin-html/ampleadmin-sidebar/ticket-list.html)
12:12:20	247860/247860	---MCZ	200	added ('OK')	text/html	etag:%223c834-58316f6457ed8-gzip%22	https://www.ampleadmin.wrappixel.com/ampleadmin-html/ampleadmin-sidebar/index.html	C:/My%20Web%20Sites/adminprojet/www.ampleadmin.wrappixel.com/ampleadmin-html/ampleadmin-sidebar/index.html	(from https://www.ampleadmin.wrappixel.com/ampleadmin-html/ampleadmin-sidebar/ticket-list.html)
12:12:21	529594/529594	---MCZ	200	added ('OK')	text/css	etag:%22814ba-58316f64f7d6f-gzip%22	https://www.ampleadmin.wrappixel.com/dist/css/style.min.css	C:/My%20Web%20Sites/adminprojet/www.ampleadmin.wrappixel.com/dist/css/style.min.css	(from https://www.ampleadmin.wrappixel.com/ampleadmin-html/ampleadmin-sidebar/ticket-list.html)
12:12:21	17700/17700	---M--	200	added ('OK')	image/png	etag:%224524-58316f648b710%22	https://www.ampleadmin.wrappixel.com/assets/images/logos/logo-icon.png	C:/My%20Web%20Sites/adminprojet/www.ampleadmin.wrappixel.com/assets/images/logos/logo-icon.png	(from https://www.ampleadmin.wrappixel.com/ampleadmin-html/ampleadmin-sidebar/ticket-list.html)
12:12:22	17528/17528	---M--	200	added ('OK')	image/png	etag:%224478-58316f648b710%22	https://www.ampleadmin.wrappixel.com/assets/images/logos/logo-light-icon.png	C:/My%20Web%20Sites/adminprojet/www.ampleadmin.wrappixel.com/assets/images/logos/logo-light-icon.png	(from https://www.ampleadmin.wrappixel.com/ampleadmin-html/ampleadmin-sidebar/ticket-list.html)
12:12:22	16541/16541	---M--	200	added ('OK')	image/png	etag:%22409d-58316f648b710%22	https://www.ampleadmin.wrappixel.com/assets/images/logos/logo-text.png	C:/My%20Web%20Sites/adminprojet/www.ampleadmin.wrappixel.com/assets/images/logos/logo-text.png	(from https://www.ampleadmin.wrappixel.com/ampleadmin-html/ampleadmin-sidebar/ticket-list.html)
12:12:22	16371/16371	---M--	200	added ('OK')	image/png	etag:%223ff3-58316f648b710%22	https://www.ampleadmin.wrappixel.com/assets/images/logos/logo-light-text.png	C:/My%20Web%20Sites/adminprojet/www.ampleadmin.wrappixel.com/assets/images/logos/logo-light-text.png	(from https://www.ampleadmin.wrappixel.com/ampleadmin-html/ampleadmin-sidebar/ticket-list.html)
12:12:23	65070/65070	---M--	200	added ('OK')	image/jpeg	etag:%22fe2e-58316f648baf8%22	https://www.ampleadmin.wrappixel.com/assets/images/users/1.jpg	C:/My%20Web%20Sites/adminprojet/www.ampleadmin.wrappixel.com/assets/images/users/1.jpg	(from https://www.ampleadmin.wrappixel.com/ampleadmin-html/ampleadmin-sidebar/ticket-list.html)
12:12:24	101308/101308	---M--	200	added ('OK')	image/jpeg	etag:%2218bbc-58316f648bee0%22	https://www.ampleadmin.wrappixel.com/assets/images/users/2.jpg	C:/My%20Web%20Sites/adminprojet/www.ampleadmin.wrappixel.com/assets/images/users/2.jpg	(from https://www.ampleadmin.wrappixel.com/ampleadmin-html/ampleadmin-sidebar/ticket-list.html)
12:12:24	58312/58312	---M--	200	added ('OK')	image/jpeg	etag:%22e3c8-58316f648bee0%22	https://www.ampleadmin.wrappixel.com/assets/images/users/3.jpg	C:/My%20Web%20Sites/adminprojet/www.ampleadmin.wrappixel.com/assets/images/users/3.jpg	(from https://www.ampleadmin.wrappixel.com/ampleadmin-html/ampleadmin-sidebar/ticket-list.html)
12:12:24	64451/64451	---M--	200	added ('OK')	image/jpeg	etag:%22fbc3-58316f648bee0%22	https://www.ampleadmin.wrappixel.com/assets/images/users/4.jpg	C:/My%20Web%20Sites/adminprojet/www.ampleadmin.wrappixel.com/assets/images/users/4.jpg	(from https://www.ampleadmin.wrappixel.com/ampleadmin-html/ampleadmin-sidebar/ticket-list.html)
12:12:25	96846/96846	---M--	200	added ('OK')	image/jpeg	etag:%2217a4e-58316f648a388%22	https://www.ampleadmin.wrappixel.com/assets/images/big/img3.jpg	C:/My%20Web%20Sites/adminprojet/www.ampleadmin.wrappixel.com/assets/images/big/img3.jpg	(from https://www.ampleadmin.wrappixel.com/ampleadmin-html/ampleadmin-sidebar/ticket-list.html)
12:12:25	115545/115545	---M--	200	added ('OK')	image/jpeg	etag:%221c359-58316f6489fa0%22	https://www.ampleadmin.wrappixel.com/assets/images/big/img2.jpg	C:/My%20Web%20Sites/adminprojet/www.ampleadmin.wrappixel.com/assets/images/big/img2.jpg	(from https://www.ampleadmin.wrappixel.com/ampleadmin-html/ampleadmin-sidebar/ticket-list.html)
12:12:26	218415/218415	---MCZ	200	added ('OK')	text/html	etag:%223552f-58316f6457ed8-gzip%22	https://www.ampleadmin.wrappixel.com/ampleadmin-html/ampleadmin-sidebar/index2.html	C:/My%20Web%20Sites/adminprojet/www.ampleadmin.wrappixel.com/ampleadmin-html/ampleadmin-sidebar/index2.html	(from https://www.ampleadmin.wrappixel.com/ampleadmin-html/ampleadmin-sidebar/ticket-list.html)
